         291952 function calls (282739 primitive calls) in 12.356 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 unicode.py:55(_chars_for_ranges)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.001    0.001 traceback.py:427(extract)
     5023    0.001    0.000    0.001    0.000 typing.py:1803(<genexpr>)
        1    0.000    0.000    0.001    0.001 traceback.py:449(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.000    0.000 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:70(alphas)
  503/142    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
      239    0.000    0.000    0.000    0.000 core.py:456(__init__)
       40    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
       20    0.000    0.000    0.000    0.000 arrayprint.py:540(wrapper)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:2951(_generateDefaultName)
        4    0.000    0.000    0.000    0.000 traceback.py:367(line)
        4    0.000    0.000    0.000    0.000 traceback.py:341(_set_lines)
       11    0.000    0.000    0.000    0.000 core.py:2952(charsAsStr)
    30/12    0.000    0.000    0.000    0.000 core.py:4698(parseImpl)
       24    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       20    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
        2    0.000    0.000    0.000    0.000 linecache.py:21(getline)
        2    0.000    0.000    0.000    0.000 linecache.py:31(getlines)
       41    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.000    0.000 linecache.py:83(updatecache)
       14    0.000    0.000    0.000    0.000 typing.py:1449(__ror__)
       33    0.000    0.000    0.000    0.000 typing.py:1574(copy_with)
        1    0.000    0.000    0.000    0.000 string.py:69(__init_subclass__)
       64    0.000    0.000    0.000    0.000 core.py:4672(__init__)
      298    0.000    0.000    0.000    0.000 inspect.py:2726(__init__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
      624    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
    24/12    0.000    0.000    0.000    0.000 core.py:4425(parseImpl)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      519    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      582    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:251(__init__)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:255(getdoc)
        1    0.000    0.000    0.000    0.000 interp.py:1(<module>)
       53    0.000    0.000    0.000    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.000    0.000 rcsetup.py:814(validate_cycler)
      570    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       24    0.000    0.000    0.000    0.000 artist.py:1530(number_of_parameters)
      212    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1(<module>)
      668    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      608    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
       19    0.000    0.000    0.000    0.000 typing.py:1719(__getitem__)
       39    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
     3378    0.000    0.000    0.000    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.000    0.000 argparse.py:1759(__init__)
       37    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:99(load_first_config)
     2723    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       21    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
     1326    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:444(PercentStyle)
       19    0.000    0.000    0.000    0.000 arrayprint.py:1668(_guarded_repr_or_str)
