         149578 function calls (145313 primitive calls) in 47.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:340(validate_color_or_inherit)
        3    0.000    0.000    0.000    0.000 gettext.py:741(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:664(dgettext)
        3    0.000    0.000    0.000    0.000 gettext.py:583(translation)
        7    0.000    0.000    0.000    0.000 argparse.py:1303(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:2089(_warn_external)
       18    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1060    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        3    0.000    0.000    0.000    0.000 gettext.py:542(find)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      211    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      828    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       11    0.000    0.000    0.000    0.000 typing.py:885(__getitem__)
      572    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      180    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
     1621    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      214    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
     2724    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      700    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
     1895    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:4847(parseImpl)
      789    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        2    0.000    0.000    0.000    0.000 re.py:233(findall)
       50    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        6    0.000    0.000    0.000    0.000 argparse.py:1931(consume_optional)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
     12/8    0.000    0.000    0.000    0.000 typing.py:337(__getitem__)
      789    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:843(cycler)
      757    0.000    0.000    0.000    0.000 __init__.py:916(<lambda>)
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 pyparsing.py:2215(__mul__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
       16    0.000    0.000    0.000    0.000 typing.py:818(copy_with)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4779(parseImpl)
       83    0.000    0.000    0.000    0.000 pyparsing.py:2828(__init__)
     1923    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 linop.py:16(inversa)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(pinv)
        8    0.000    0.000    0.000    0.000 typing.py:418(Union)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:2270(makeOptionalList)
        2    0.000    0.000    0.000    0.000 linalg.py:1916(pinv)
     1237    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      170    0.000    0.000    0.000    0.000 typing.py:690(__setattr__)
        4    0.000    0.000    0.000    0.000 core.py:115(doc_note)
      137    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
       63    0.000    0.000    0.000    0.000 enum.py:65(__setitem__)
      9/3    0.000    0.000    0.000    0.000 pyparsing.py:4243(streamline)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
      212    0.000    0.000    0.000    0.000 enum.py:580(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:926(<dictcomp>)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
